action,subject,object,params.name,params.datatype,params.cardinality,params.ontology_class,params.parent_property,params.description,params.config,params.ontology_property,params.publication_id
create_branch,classificatory_status,1f825fac-a894-5f23-9c74-5b1d8207618c,Classificatory Status,,,,,,,,
add_node,classificatory_status,srdf_785_1,Classificatory Status Holds for,resource-instance-list,n,http://www.cidoc-crm.org/cidoc-crm/E74_Group,https://ontology.swissartresearch.net/aaao/ZP4_holds_for,,"{""graphs"": [{""graphid"": ""d4a88461-5463-11e9-90d9-000d3ab1e588"", ""ontologyProperty"": """", ""inverseOntologyProperty"": """", ""useOntologyRelationship"": false}], ""searchDsl"": """", ""searchString"": """"}",,
add_node,classificatory_status,srdf_376_1,Classificatory Status Ascribed Classificatory Relation,reference,1,http://www.cidoc-crm.org/cidoc-crm/E55_Type,https://ontology.swissartresearch.net/aaao/ZP13_ascribes_classificatory_relation,,"{""controlledList"": ""Classificatory Status Ascribed Classificatory Relation""}",,
add_node,classificatory_status,srdf_375_1,Classificatory Status Classification,reference,n,http://www.cidoc-crm.org/cidoc-crm/E55_Type,https://ontology.swissartresearch.net/aaao/ZP12_ascribes_classification,,"{""controlledList"": ""Classificatory Status Classification""}",,
add_node,classificatory_status,srdf_377_1,Classificatory Status Time-span,semantic,1,http://www.cidoc-crm.org/cidoc-crm/E52_Time-Span,http://www.cidoc-crm.org/cidoc-crm/P4_has_time-span,,,,
add_subgraph,srdf_377_1,8aeb4e58-1b46-11ea-89a5-c4d9877d154e,,,,,,,,,
add_node,classificatory_status,srdf_378_1,Classificatory Status Event Context,resource-instance-list,n,http://www.cidoc-crm.org/cidoc-crm/E5_Event,https://ontology.swissartresearch.net/aaao/ZP75_applies_for_context,,"{""graphs"": [{""graphid"": ""2fd2fdc5-2046-5245-90fe-03e147ab26aa"", ""ontologyProperty"": """", ""inverseOntologyProperty"": """", ""useOntologyRelationship"": false}], ""searchDsl"": """", ""searchString"": """"}",,
add_node,classificatory_status,srdf_379_1,Classificatory Status Context Type,reference,n,http://www.cidoc-crm.org/cidoc-crm/E55_Type,https://ontology.swissartresearch.net/aaao/ZP76_applies_for_context_type,,"{""controlledList"": ""Classificatory Status Context Type""}",,
add_node,classificatory_status,morf_23_1,Classificatory Status Initiating Act,resource-instance-list,1,https://ontology.swissartresearch.net/aaao/ZE52_Transformative_Symbolic_Act,https://ontology.swissartresearch.net/aaao/ZP42i_was_intentionally_initiated_by,,"{""graphs"": [{""graphid"": ""5a15d953-d754-5ee7-8c9a-3dadeaa41359"", ""ontologyProperty"": """", ""inverseOntologyProperty"": """", ""useOntologyRelationship"": false}], ""searchDsl"": """", ""searchString"": """"}",,
add_node,classificatory_status,morf_24_1,Classificatory Status Terminating Act,resource-instance-list,1,https://ontology.swissartresearch.net/aaao/ZE52_Transformative_Symbolic_Act,https://ontology.swissartresearch.net/aaao/ZP52i_was_intentionally_terminated_by,,"{""graphs"": [{""graphid"": ""5a15d953-d754-5ee7-8c9a-3dadeaa41359"", ""ontologyProperty"": """", ""inverseOntologyProperty"": """", ""useOntologyRelationship"": false}], ""searchDsl"": """", ""searchString"": """"}",,
add_node,classificatory_status,srdf_385_1,Classificatory Status Type,reference,n,http://www.cidoc-crm.org/cidoc-crm/E55_Type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,,"{""controlledList"": ""Classificatory Status Type""}",,
add_node,classificatory_status,srdf_384_1,Classificatory Status Statement,semantic,n,http://www.cidoc-crm.org/cidoc-crm/E33_Linguistic_Object,http://www.cidoc-crm.org/cidoc-crm/P67i_is_referred_to_by,,,,
add_subgraph,srdf_384_1,251551d8-7fe7-11ea-bcad-f875a44e0e11,,,,,,,,,
